timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,284.7900,288.9300,279.3910,283.0300,283.0300,1813360,0.0000
2024-02-29,267.6600,286.3000,267.3800,284.1700,284.1700,6849012,0.0000
2024-01-31,256.9100,273.7500,250.7900,266.0400,266.0400,7887185,0.0000
2023-12-29,249.8000,261.7800,246.1800,259.5100,259.5100,6798246,0.4293
2023-11-30,224.9500,253.3200,224.9500,250.4900,250.0761,7193028,0.0000
2023-10-31,226.7700,237.9500,218.1000,224.4100,224.0392,7547987,0.0000
2023-09-29,243.0700,243.2400,222.7110,226.9000,226.5251,6219564,0.3158
2023-08-31,242.1300,242.6700,226.2100,241.3000,240.5678,6842086,0.0000
2023-07-31,235.4900,245.2200,230.6200,242.9200,242.1829,5390424,0.0000
2023-06-30,220.4600,236.2600,220.0000,235.3200,234.6060,5882326,0.2736
2023-05-31,207.8600,224.1550,203.5800,220.7500,219.8195,6036668,0.0000
2023-04-28,203.2400,208.1700,199.8100,208.1300,207.2527,5247206,0.0000
2023-03-31,187.5000,204.6000,182.3100,204.5100,203.6479,11434149,0.2827
2023-02-28,190.3600,201.5800,185.5800,187.7400,186.6813,7740840,0.0000
2023-01-31,173.6000,192.5200,167.6600,190.5200,189.4457,6926417,0.0000
2022-12-30,189.2500,191.2400,168.0400,172.0700,171.0997,8315366,0.3389
2022-11-30,183.1200,189.0400,167.1300,189.0200,187.5847,9173900,0.0000
2022-10-31,175.3300,186.0000,165.8900,180.8900,179.5165,8854127,0.0000
2022-09-30,193.8200,203.9282,174.1300,174.2900,172.9666,7663852,0.3465
2022-08-31,204.7500,218.6122,195.0500,195.2300,193.3802,7931423,0.0000
2022-07-29,180.9500,206.6900,180.0000,206.1900,204.2363,6642919,0.0000
2022-06-30,200.5600,203.6400,174.2400,181.6900,179.9685,7695091,0.2761
2022-05-31,203.4600,214.2700,180.7600,199.1100,196.9296,9655529,0.0000
2022-04-29,235.5900,240.4100,203.9500,204.2900,202.0529,5710872,0.0000
2022-03-31,225.0800,242.1000,206.5700,235.4000,232.8222,7873358,0.2383
2022-02-28,239.2300,243.1199,207.1400,225.6400,222.9414,9598638,0.0000
2022-01-31,261.9500,263.8400,216.7800,238.2000,235.3512,9370436,0.0000
2021-12-31,259.4400,265.0000,247.2700,260.7600,257.6414,6082745,0.2758
2021-11-30,254.5300,266.4400,252.6600,256.5300,253.1978,4937584,0.0000
2021-10-29,235.4700,254.2100,230.4400,254.1400,250.8389,4642852,0.0000
2021-09-30,249.1600,251.0200,234.6400,234.8000,231.7501,4483370,0.2721
2021-08-31,241.0100,249.4400,236.3100,248.6100,245.0985,3525650,0.0000
2021-07-30,231.2900,243.6800,230.6390,239.5400,236.1566,5077351,0.0000
2021-06-30,219.6300,231.8900,215.1600,231.3800,228.1119,3727603,0.2623
