timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,147.0100,151.3300,145.9800,148.2200,148.2200,214537,0.0000
2024-02-29,135.5600,147.2406,134.4100,146.5000,146.5000,524225,0.0000
2024-01-31,130.8400,137.1500,126.1200,134.1815,134.1815,274939,0.0000
2023-12-29,119.6400,133.3400,119.6400,131.2915,131.2915,226797,0.3740
2023-11-30,107.8000,120.7000,107.8000,120.4290,120.0870,176819,0.0000
2023-10-31,113.1900,115.3842,105.6350,107.6300,107.3244,264330,0.0000
2023-09-29,122.3000,122.3000,111.4600,113.3893,113.0673,256578,0.1538
2023-08-31,124.2900,125.1400,114.5800,120.8278,120.3203,236195,0.0000
2023-07-31,121.4900,126.3300,117.3900,125.1467,124.6211,176133,0.0000
2023-06-30,113.5400,121.7200,111.9900,121.2447,120.7355,264011,0.2835
2023-05-31,111.0000,114.0900,108.7500,111.9200,111.1816,246054,0.0000
2023-04-28,114.0000,114.0000,109.0007,111.4425,110.7073,186158,0.0000
2023-03-31,116.2000,119.1900,106.2200,112.5389,111.7965,298281,0.3550
2023-02-28,118.7700,120.1400,114.7848,115.8982,114.7556,223100,0.0000
2023-01-31,114.7700,119.0168,111.6100,118.6740,117.5041,295322,0.0000
2022-12-30,122.7100,123.2326,112.1530,114.0600,112.9356,377331,0.5643
2022-11-30,119.8850,121.9300,115.9700,121.9300,120.1303,335915,0.0000
2022-10-31,107.2600,119.9805,107.2600,119.3734,117.6114,256466,0.0000
2022-09-30,114.9900,118.5000,103.8200,105.7631,104.2020,281999,0.4907
2022-08-31,115.5000,122.5700,112.2200,115.0301,112.8067,237922,0.0000
2022-07-29,108.0400,115.6800,102.9100,115.4836,113.2515,318440,0.0000
2022-06-30,118.3700,122.1087,104.5850,106.5772,104.5172,305387,0.5553
2022-05-31,115.7300,121.3813,108.6781,118.4709,115.5850,280133,0.0000
2022-04-29,127.6400,129.6700,115.7526,115.7526,112.9329,126910,0.0000
2022-03-31,121.8408,129.6600,117.8801,126.4100,123.3307,223696,0.3566
2022-02-28,123.6500,127.0900,113.3600,122.7607,119.4331,185810,0.0000
2022-01-31,133.3300,135.0200,112.6000,121.2160,117.9303,472013,0.0000
2021-12-31,135.8500,135.8500,124.8610,133.1490,129.5398,177482,0.4992
2021-11-30,138.1800,143.2000,131.6300,132.1390,128.0821,131894,0.0000
2021-10-29,129.3700,138.0500,127.6750,137.2450,133.0314,103700,0.0000
2021-09-30,133.5500,134.9670,125.8300,128.6190,124.6702,222885,0.2554
2021-08-31,129.2500,134.4000,125.2237,133.2861,128.9452,138554,0.0000
2021-07-30,132.1000,132.9900,120.4600,128.9155,124.7169,369604,0.0000
2021-06-30,130.1900,132.4300,125.1500,131.4900,127.2076,149737,0.2081
2021-05-28,128.3150,130.2700,119.3900,129.0880,124.6857,132928,0.0000
2021-04-30,125.7800,131.0000,122.1350,127.2946,122.9535,125372,0.0000
2021-03-31,127.4800,130.6600,114.5700,123.9173,119.6914,185137,0.1097
2021-02-26,120.5700,135.0000,119.9500,125.2933,120.9152,205488,0.0000
