timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,232.1700,235.9900,229.9700,233.0700,233.0700,380454,0.0000
2024-02-29,220.6500,232.1400,220.0701,231.7400,231.7400,1631498,0.0000
2024-01-31,215.2200,223.7900,212.6900,219.8100,219.8100,1617555,0.0000
2023-12-29,207.3000,218.0899,206.9500,216.9400,216.9400,1832221,0.9112
2023-11-30,189.9100,208.3399,189.9100,207.5800,206.7111,1726199,0.0000
2023-10-31,194.3100,199.1100,185.7400,189.6800,188.8860,1839910,0.0000
2023-09-29,206.0400,206.4800,192.3900,194.6600,193.8452,1014660,0.7554
2023-08-31,208.0000,208.1900,196.8700,204.8900,203.2490,1143693,0.0000
2023-07-31,201.8500,209.0809,198.5150,208.5400,206.8697,1062010,0.0000
2023-06-30,189.5300,202.3900,189.1600,201.5600,199.9456,1452485,0.6895
2023-05-31,188.3500,191.6799,183.2348,189.5900,187.4149,1733036,0.0000
2023-04-28,186.2600,188.9700,183.2900,188.8000,186.6340,854696,0.0000
2023-03-31,181.1300,186.3900,173.4900,186.3300,184.1923,3759776,0.6825
2023-02-28,185.1200,191.4114,180.0900,181.2400,178.4791,1801994,0.0000
2023-01-31,175.0700,186.3740,172.0200,185.8000,182.9697,2437379,0.0000
2022-12-30,185.9900,186.6100,170.6500,174.2600,171.6055,4293887,0.7330
2022-11-30,177.9900,185.7400,168.3950,185.7400,182.1551,4628730,0.0000
2022-10-31,165.0000,177.4100,158.9500,176.1700,172.7698,3274788,0.0000
2022-09-30,179.6300,188.2200,162.9800,163.3800,160.2267,4593801,0.7568
2022-08-31,186.5200,197.3500,180.4800,180.6700,176.3930,1283859,0.0000
2022-07-29,171.5100,188.0400,169.0000,187.8600,183.4128,1972511,0.0000
2022-06-30,189.5100,190.4300,165.6340,171.8300,167.7623,2742972,0.6792
2022-05-31,188.6200,196.4000,173.6000,188.3900,183.2118,2806165,0.0000
2022-04-29,207.8600,209.5200,188.1800,188.3600,183.1827,1550538,0.0000
2022-03-31,200.2100,212.0100,190.0000,207.2000,201.5048,2486262,0.5941
2022-02-28,206.9900,210.3700,188.1400,200.6500,194.5748,2160750,0.0000
2022-01-31,219.2200,220.9000,192.7550,206.2900,200.0440,1757370,0.0000
2021-12-31,213.7100,220.7600,207.2000,218.8500,212.2237,1318795,0.7762
2021-11-30,214.4600,219.5400,210.7800,211.2000,204.0648,848859,0.0000
2021-10-29,200.8900,214.0900,198.6200,213.9500,206.7219,876349,0.0000
2021-09-30,210.8600,211.5600,200.0000,200.1800,193.4171,954274,0.6480
2021-08-31,205.5500,211.1400,202.5259,210.4300,202.6715,916540,0.0000
2021-07-30,200.6900,206.2100,196.6950,204.4200,196.8831,877191,0.0000
2021-06-30,197.2700,200.7700,194.4550,200.2800,192.8958,814155,0.5715
2021-05-28,196.4100,197.0600,188.5900,195.9800,188.2172,985704,0.0000
2021-04-30,186.6200,196.9600,186.3400,195.1500,187.4201,928865,0.0000
2021-03-31,181.5100,186.8100,174.0705,185.2100,177.8738,2380521,0.5363
2021-02-26,175.5700,186.0487,174.4200,178.9100,171.3268,863247,0.0000
2021-01-29,175.9100,181.2400,171.1500,173.7000,166.3377,2580325,0.0000
2020-12-31,170.8600,175.4700,169.8200,175.2100,167.7837,1103375,0.8011
2020-11-30,152.7500,170.0100,151.6100,169.0500,161.1424,1006045,0.0000
2020-10-30,156.0600,163.8952,149.6801,151.3300,144.2513,936229,0.0000
2020-09-30,161.6400,165.2288,147.6400,154.8000,147.5590,1141587,0.5149
2020-08-31,151.3800,162.0000,151.0000,161.2000,153.1447,729030,0.0000
2020-07-31,142.2700,150.7800,142.1600,150.2400,142.7324,2233999,0.0000
2020-06-30,139.1100,148.6300,136.1800,141.9300,134.8376,2816217,0.5944
2020-05-29,130.1800,140.6200,126.1200,139.7600,132.2194,1733637,0.0000
2020-04-30,112.8400,134.6300,110.8400,132.6000,125.4457,2620719,0.0000
2020-03-31,136.8500,143.8100,99.5100,117.2400,110.9144,4473027,0.6364
2020-02-28,148.6100,155.8100,131.2200,135.8100,127.7988,1170991,0.0000
2020-01-31,148.1200,152.7900,146.8500,147.8500,139.1286,1046483,0.0000
2019-12-31,144.3000,148.3700,141.0300,147.4800,138.7804,789233,0.6667
2019-11-29,139.6600,144.7800,139.6600,144.2100,135.0850,370822,0.0000
2019-10-31,136.5600,139.5100,130.5800,138.8800,130.0923,808361,0.0000
2019-09-30,133.3800,138.7300,132.9600,136.0300,127.4226,827070,0.6658
2019-08-30,136.9900,138.3300,129.5100,134.2400,125.1336,1510333,0.0000
