timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,299.1600,305.1900,294.6200,298.7400,298.7400,884344,0.0000
2024-02-29,280.1900,300.3699,280.0000,298.3600,298.3600,2618390,0.0000
2024-01-31,268.2300,286.1900,262.1000,278.3600,278.3600,2775301,0.0000
2023-12-29,261.3100,272.7400,259.5025,270.7900,270.7900,2170511,0.9117
2023-11-30,241.4400,263.7250,241.2220,261.8900,261.0009,1869974,0.0000
2023-10-31,246.7300,255.0291,236.3800,240.7200,239.9028,2098971,0.0000
2023-09-29,261.8900,262.0000,244.5491,246.8400,246.0020,1549552,0.7511
2023-08-31,261.1600,261.6120,247.8300,260.1400,258.4720,2495638,0.0000
2023-07-31,254.0900,262.6200,249.5704,261.8700,260.1910,2392371,0.0000
2023-06-30,239.9600,254.6400,239.3600,254.0900,252.4608,2726812,0.6987
2023-05-31,233.4400,242.7099,227.9200,239.9600,237.7586,2243501,0.0000
2023-04-28,230.3800,234.0720,227.6350,233.8500,231.7046,1942144,0.0000
2023-03-31,218.1000,230.5700,212.0701,230.4800,228.3656,2899656,0.6836
2023-02-28,222.4000,229.4000,217.0900,218.2900,215.6287,2317215,0.0000
2023-01-31,211.7400,224.4500,206.2400,222.8500,220.1331,2897642,0.0000
2022-12-30,229.5600,231.2200,207.5420,210.9400,208.3683,3533192,0.5848
2022-11-30,220.4800,228.9300,203.3600,228.9000,225.4858,3541725,0.0000
2022-10-31,210.1900,222.8800,199.3640,218.0300,214.7779,4953406,0.0000
2022-09-30,230.5800,242.5600,208.5100,208.5500,205.4393,4169692,0.5034
2022-08-31,243.8000,258.9900,232.1900,232.1900,228.1992,3422376,0.0000
2022-07-29,216.7100,246.0800,215.0000,245.4900,241.2707,4313949,0.0000
2022-06-30,239.4100,242.1800,208.1000,217.6400,213.8993,6383829,0.4455
2022-05-31,240.2300,253.3200,216.2500,237.6500,233.0940,7791549,0.0000
2022-04-29,276.4100,280.6000,240.5000,240.8700,236.2523,3439319,0.0000
2022-03-31,263.2700,283.6400,244.9800,275.6500,270.3655,4798989,0.4338
2022-02-28,277.1500,282.0274,243.0000,264.0800,258.6091,5736572,0.0000
2022-01-31,303.0300,304.6400,252.9401,276.3900,270.6641,5141825,0.0000
2021-12-31,298.3800,306.6402,286.1650,301.7400,295.4889,3279393,0.4662
2021-11-30,291.4300,306.0800,289.2036,295.0500,288.4811,2422638,0.0000
2021-10-29,267.6200,290.9900,262.1500,290.9500,284.4724,2029881,0.0000
2021-09-30,284.3900,285.6100,266.5200,266.6800,260.7428,2520945,0.4411
2021-08-31,273.6200,284.5800,270.1161,283.6800,276.9098,2216687,0.0000
2021-07-30,262.2100,275.6800,261.8800,272.2800,265.7818,2484370,0.0000
2021-06-30,249.7900,262.7992,244.9600,262.3900,256.1279,1637372,0.3614
2021-05-28,252.0200,252.4500,237.4782,248.7300,242.4560,1788347,0.0000
2021-04-30,237.0500,254.3200,236.9500,250.9300,244.6005,2373445,0.0000
2021-03-31,232.2300,236.3200,218.9680,234.9700,229.0430,2646054,0.3425
2021-02-26,231.5600,243.5381,227.1400,228.7800,222.6819,2698811,0.0000
2021-01-29,231.1200,239.7800,223.8700,228.7600,222.6624,2962711,0.0000
2020-12-31,224.0100,231.4600,221.0350,230.0800,223.9472,2009972,0.6468
2020-11-30,204.4000,226.6100,201.7315,222.2100,215.6730,2956552,0.0000
2020-10-30,210.7500,221.5250,200.1500,202.2900,196.3390,2714777,0.0000
2020-09-30,220.2900,225.6000,197.5793,208.4300,202.2984,3382982,0.3805
2020-08-31,201.8400,220.3300,201.3200,219.2000,212.3581,2537513,0.0000
2020-07-31,187.2500,200.3100,187.0900,200.2700,194.0190,3017444,0.0000
2020-06-30,180.0500,191.0600,177.2100,186.9000,181.0663,3720114,0.5572
2020-05-29,166.5700,181.5100,164.0600,180.0500,173.9096,2806822,0.0000
2020-04-30,143.3300,171.2200,141.0200,170.0600,164.2603,5647188,0.0000
2020-03-31,167.3500,176.1800,126.4900,148.8500,143.7736,12515869,0.4460
2020-02-28,179.1600,190.2100,159.5000,165.9700,159.8719,4315844,0.0000
2020-01-31,175.6300,183.7600,173.9300,178.3200,171.7681,2434019,0.0000
2019-12-31,170.3400,175.7500,166.4600,174.3800,167.9729,1424244,0.6003
2019-11-29,165.3000,170.8100,164.7900,170.1300,163.3082,957183,0.0000
2019-10-31,162.1700,165.1900,155.6400,164.4900,157.8943,2196592,0.0000
2019-09-30,160.8400,165.2000,159.9200,161.6600,155.1778,1476610,0.5862
