timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,226.6300,230.8200,224.8400,227.9800,227.9800,97114,0.0000
2024-02-29,215.8300,226.9600,215.8000,226.4400,226.4400,365043,0.0000
2024-01-31,212.8300,219.0500,208.3100,215.0900,215.0900,1164628,0.0000
2023-12-29,202.2400,213.8821,202.2400,212.8300,212.8300,1072360,0.9149
2023-11-30,185.8800,203.5600,185.5640,202.6600,201.7900,963704,0.0000
2023-10-31,190.3400,194.6400,181.5900,185.4200,184.6240,511077,0.0000
2023-09-29,201.9900,201.9900,188.5200,190.7300,189.9112,323083,0.7248
2023-08-31,204.1100,204.2800,193.2100,200.7600,199.1467,285140,0.0000
2023-07-31,197.7000,205.0350,194.5062,204.7800,203.1344,326989,0.0000
2023-06-30,186.1600,198.1500,185.7500,197.4500,195.8633,648360,0.8417
2023-05-31,185.1500,187.9290,179.7000,186.0900,183.7920,554700,0.0000
2023-04-28,182.6900,185.5357,180.1000,185.2400,182.9525,454711,0.0000
2023-03-31,179.1200,183.7500,171.1700,183.3000,181.0365,873823,0.6516
2023-02-28,183.3500,189.1100,177.9100,179.0900,176.2244,881582,0.0000
2023-01-31,172.8100,183.7650,169.5300,183.4500,180.5146,734851,0.0000
2022-12-30,183.7900,184.0050,168.1850,171.7500,169.0018,1773819,0.7907
2022-11-30,175.8600,183.2300,166.5100,183.2300,179.4836,556625,0.0000
2022-10-31,162.9200,175.2600,157.0300,174.1800,170.6186,1909200,0.0000
2022-09-30,176.8000,185.6500,160.8900,161.1000,157.8061,678027,0.6445
2022-08-31,184.0900,194.6500,178.1200,178.2100,173.8941,719162,0.0000
2022-07-29,168.9700,185.1900,166.6000,185.1200,180.6367,586469,0.0000
2022-06-30,186.2400,187.5000,163.0900,169.0000,164.9071,956796,0.6235
2022-05-31,185.3000,193.2300,171.0200,185.0700,179.9308,1032301,0.0000
2022-04-29,204.2400,206.1900,185.1700,185.4000,180.2516,746581,0.0000
2022-03-31,197.8400,208.5200,187.3600,203.9300,198.2671,631734,0.5563
2022-02-28,203.8900,207.1499,184.5800,197.6100,191.5982,523133,0.0000
2022-01-31,216.8600,218.1100,190.0000,203.0500,196.8727,598462,0.0000
2021-12-31,211.5800,217.7600,204.6700,215.7200,209.1572,507130,0.7623
2021-11-30,212.4900,217.1719,208.3600,208.7900,201.7087,411257,0.0000
2021-10-29,199.2500,211.7000,197.0000,211.5400,204.3654,472387,0.0000
2021-09-30,208.5000,209.2900,198.0700,198.0700,191.3523,337054,0.6325
2021-08-31,202.9000,208.8400,200.5500,208.2200,200.5248,282344,0.0000
2021-07-30,199.0100,204.1874,194.7950,202.3800,194.9006,259408,0.0000
2021-06-30,195.9900,199.7400,193.4300,199.1000,191.7419,412897,0.5518
2021-05-28,195.6700,196.2400,187.5931,194.8200,187.1011,532283,0.0000
2021-04-30,186.1100,196.3400,185.8438,194.0080,186.3212,526534,0.0000
2021-03-31,181.9700,187.4700,173.7600,184.8500,177.5261,526517,0.5646
2021-02-26,175.4400,186.2700,174.3490,178.5900,170.9829,437458,0.0000
2021-01-29,174.4900,180.9100,169.9315,173.1600,165.7842,383265,0.0000
2020-12-31,169.2300,174.2900,168.3800,174.0800,166.6650,442320,0.7498
2020-11-30,151.1600,168.4800,149.5050,167.3600,159.5390,501426,0.0000
2020-10-30,153.6300,161.5500,147.8950,149.1900,142.2181,424199,0.0000
2020-09-30,158.3600,162.4500,145.7237,152.2400,145.1255,205240,0.4843
2020-08-31,148.8000,159.1300,148.2900,158.4900,150.5994,436858,0.0000
2020-07-31,140.5700,148.8500,140.2300,147.9100,140.5461,429320,0.0000
2020-06-30,137.7700,146.5500,134.2600,139.8800,132.9159,284617,0.5710
2020-05-29,127.6300,138.5600,124.1500,137.1900,129.8269,418289,0.0000
2020-04-30,111.7400,132.7600,108.9200,130.4100,123.4108,426997,0.0000
2020-03-31,134.9800,142.1200,97.7700,115.1400,108.9603,1584157,0.5821
2020-02-28,147.8800,154.3000,130.2000,134.5500,126.6993,372143,0.0000
2020-01-31,147.2700,151.4900,145.7600,146.3600,137.8202,553421,0.0000
2019-12-31,143.1700,147.5200,140.0800,146.4100,137.8672,185053,0.6604
2019-11-29,138.3700,143.6700,138.3700,143.0000,134.0444,242191,0.0000
2019-10-31,135.4800,138.3900,129.5800,137.6400,129.0200,473744,0.0000
2019-09-30,132.3700,137.7800,131.7000,135.1800,126.7141,134847,0.6461
2019-08-30,136.2600,137.2600,128.8200,133.2200,124.2821,356277,0.0000
2019-07-31,135.7300,138.1000,134.5700,136.1600,127.0249,202117,0.0000
